Population=7348242 getPopulationofCountry Bolivia Zone:1 (turnaround time: 116 ms, execution time: 115 ms, waiting time: 1 ms, processed by Server 1)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 116 ms, execution time: 114 ms, waiting time: 2 ms, processed by Server 4)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 119 ms, execution time: 117 ms, waiting time: 2 ms, processed by Server 4)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 124 ms, execution time: 121 ms, waiting time: 3 ms, processed by Server 4)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 116 ms, execution time: 114 ms, waiting time: 2 ms, processed by Server 4)
Population=9362428 getPopulationofCountry Sweden Zone:4 (turnaround time: 122 ms, execution time: 118 ms, waiting time: 4 ms, processed by Server 4)
Population=70068919 getPopulationofCountry United Kingdom Zone:3 (turnaround time: 128 ms, execution time: 126 ms, waiting time: 2 ms, processed by Server 3)
Population=3989252 getPopulationofCountry Nepal Zone:3 (turnaround time: 124 ms, execution time: 122 ms, waiting time: 2 ms, processed by Server 3)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:5 (turnaround time: 120 ms, execution time: 118 ms, waiting time: 2 ms, processed by Server 5)
Population=447039 getPopulationofCountry Equatorial Guinea Zone:5 (turnaround time: 125 ms, execution time: 122 ms, waiting time: 3 ms, processed by Server 5)
Population=3328228 getPopulationofCountry Honduras Zone:3 (turnaround time: 126 ms, execution time: 123 ms, waiting time: 3 ms, processed by Server 3)
Population=7097388 getPopulationofCountry Belarus Zone:4 (turnaround time: 124 ms, execution time: 121 ms, waiting time: 3 ms, processed by Server 4)
Population=7097388 getPopulationofCountry Belarus Zone:4 (turnaround time: 122 ms, execution time: 120 ms, waiting time: 2 ms, processed by Server 4)
Population=7097388 getPopulationofCountry Belarus Zone:4 (turnaround time: 123 ms, execution time: 120 ms, waiting time: 3 ms, processed by Server 4)
Population=266998322 getPopulationofCountry United States Zone:5 (turnaround time: 122 ms, execution time: 120 ms, waiting time: 2 ms, processed by Server 5)
Population=16383873 getPopulationofCountry Netherlands Zone:4 (turnaround time: 122 ms, execution time: 120 ms, waiting time: 2 ms, processed by Server 4)
Population=16383873 getPopulationofCountry Netherlands Zone:4 (turnaround time: 125 ms, execution time: 123 ms, waiting time: 2 ms, processed by Server 4)
Population=1565638 getPopulationofCountry Togo Zone:1 (turnaround time: 121 ms, execution time: 118 ms, waiting time: 3 ms, processed by Server 1)
Population=316458 getPopulationofCountry Suriname Zone:5 (turnaround time: 122 ms, execution time: 119 ms, waiting time: 3 ms, processed by Server 5)
Population=6340891 getPopulationofCountry Guatemala Zone:5 (turnaround time: 121 ms, execution time: 118 ms, waiting time: 3 ms, processed by Server 5)
Population=134594036 getPopulationofCountry Brazil Zone:2 (turnaround time: 120 ms, execution time: 118 ms, waiting time: 2 ms, processed by Server 2)
Population=134594036 getPopulationofCountry Brazil Zone:2 (turnaround time: 118 ms, execution time: 116 ms, waiting time: 2 ms, processed by Server 2)
Population=134594036 getPopulationofCountry Brazil Zone:2 (turnaround time: 120 ms, execution time: 118 ms, waiting time: 2 ms, processed by Server 2)
Population=134594036 getPopulationofCountry Brazil Zone:2 (turnaround time: 125 ms, execution time: 123 ms, waiting time: 2 ms, processed by Server 2)
Population=64035243 getPopulationofCountry Indonesia Zone:2 (turnaround time: 144 ms, execution time: 142 ms, waiting time: 2 ms, processed by Server 2)
Population=2501302 getPopulationofCountry Panama Zone:1 (turnaround time: 125 ms, execution time: 123 ms, waiting time: 2 ms, processed by Server 1)
Population=3988332 getPopulationofCountry Paraguay Zone:3 (turnaround time: 119 ms, execution time: 116 ms, waiting time: 3 ms, processed by Server 3)
Population=3162856 getPopulationofCountry Norway Zone:5 (turnaround time: 147 ms, execution time: 145 ms, waiting time: 2 ms, processed by Server 5)
Population=3162856 getPopulationofCountry Norway Zone:5 (turnaround time: 144 ms, execution time: 142 ms, waiting time: 2 ms, processed by Server 5)
Population=1182883 getPopulationofCountry Slovenia Zone:1 (turnaround time: 122 ms, execution time: 119 ms, waiting time: 3 ms, processed by Server 1)
Population=1930662 getPopulationofCountry Kyrgyzstan Zone:2 (turnaround time: 128 ms, execution time: 126 ms, waiting time: 2 ms, processed by Server 2)
Population=1930662 getPopulationofCountry Kyrgyzstan Zone:2 (turnaround time: 129 ms, execution time: 127 ms, waiting time: 2 ms, processed by Server 2)
Population=1930662 getPopulationofCountry Kyrgyzstan Zone:2 (turnaround time: 125 ms, execution time: 122 ms, waiting time: 3 ms, processed by Server 2)
Population=184225 getPopulationofCountry Guam Zone:5 (turnaround time: 124 ms, execution time: 122 ms, waiting time: 2 ms, processed by Server 5)
Population=3907506 getPopulationofCountry Ireland Zone:3 (turnaround time: 122 ms, execution time: 120 ms, waiting time: 2 ms, processed by Server 3)
Population=3907506 getPopulationofCountry Ireland Zone:3 (turnaround time: 120 ms, execution time: 117 ms, waiting time: 3 ms, processed by Server 3)
Population=369776 getPopulationofCountry Guyana Zone:2 (turnaround time: 118 ms, execution time: 115 ms, waiting time: 3 ms, processed by Server 2)
Cities=0 getNumberofCities Tokelau 86282 Zone:2 (turnaround time: 142 ms, execution time: 140 ms, waiting time: 2 ms, processed by Server 2)
Cities=0 getNumberofCities Tokelau 86282 Zone:2 (turnaround time: 144 ms, execution time: 142 ms, waiting time: 2 ms, processed by Server 2)
Cities=37 getNumberofCities Ireland 15357 Zone:3 (turnaround time: 144 ms, execution time: 142 ms, waiting time: 2 ms, processed by Server 3)
Cities=498 getNumberofCities Japan 35776 Zone:5 (turnaround time: 138 ms, execution time: 135 ms, waiting time: 3 ms, processed by Server 5)
Cities=498 getNumberofCities Japan 35776 Zone:5 (turnaround time: 135 ms, execution time: 132 ms, waiting time: 3 ms, processed by Server 5)
Cities=72 getNumberofCities Kenya 10116 Zone:2 (turnaround time: 130 ms, execution time: 127 ms, waiting time: 3 ms, processed by Server 2)
Cities=264 getNumberofCities Pakistan 21858 Zone:5 (turnaround time: 133 ms, execution time: 130 ms, waiting time: 3 ms, processed by Server 5)
Cities=709 getNumberofCities United Kingdom 17590 Zone:2 (turnaround time: 132 ms, execution time: 130 ms, waiting time: 2 ms, processed by Server 2)
Cities=309 getNumberofCities Philippines 26860 Zone:3 (turnaround time: 119 ms, execution time: 117 ms, waiting time: 2 ms, processed by Server 3)
Cities=309 getNumberofCities Philippines 26860 Zone:3 (turnaround time: 119 ms, execution time: 113 ms, waiting time: 6 ms, processed by Server 3)
Cities=309 getNumberofCities Philippines 26860 Zone:3 (turnaround time: 116 ms, execution time: 114 ms, waiting time: 2 ms, processed by Server 3)
Cities=309 getNumberofCities Philippines 26860 Zone:3 (turnaround time: 120 ms, execution time: 118 ms, waiting time: 2 ms, processed by Server 3)
Cities=35 getNumberofCities Cameroon 49172 Zone:3 (turnaround time: 118 ms, execution time: 116 ms, waiting time: 2 ms, processed by Server 3)
Cities=15 getNumberofCities Croatia 29650 Zone:3 (turnaround time: 128 ms, execution time: 126 ms, waiting time: 2 ms, processed by Server 3)
Cities=4 getNumberofCities Norway 97512 Zone:5 (turnaround time: 128 ms, execution time: 126 ms, waiting time: 2 ms, processed by Server 5)
Cities=5 getNumberofCities Kuwait 81013 Zone:5 (turnaround time: 120 ms, execution time: 118 ms, waiting time: 2 ms, processed by Server 5)
Cities=5 getNumberofCities Kuwait 81013 Zone:5 (turnaround time: 120 ms, execution time: 119 ms, waiting time: 1 ms, processed by Server 5)
Cities=3 getNumberofCities Chad 95635 Zone:2 (turnaround time: 119 ms, execution time: 117 ms, waiting time: 2 ms, processed by Server 2)
Cities=12 getNumberofCities Tunisia 75720 Zone:5 (turnaround time: 119 ms, execution time: 117 ms, waiting time: 2 ms, processed by Server 5)
Cities=12 getNumberofCities Tunisia 75720 Zone:5 (turnaround time: 119 ms, execution time: 117 ms, waiting time: 2 ms, processed by Server 5)
Cities=12 getNumberofCities Tunisia 75720 Zone:5 (turnaround time: 118 ms, execution time: 116 ms, waiting time: 2 ms, processed by Server 5)
Cities=4 getNumberofCities Guam 16010 Zone:1 (turnaround time: 118 ms, execution time: 116 ms, waiting time: 2 ms, processed by Server 1)
Countries=128 getNumberofCountries 16 17136 71980  Zone:5 (turnaround time: 149 ms, execution time: 147 ms, waiting time: 2 ms, processed by Server 5)
Countries=128 getNumberofCountries 16 17136 71980  Zone:5 (turnaround time: 146 ms, execution time: 144 ms, waiting time: 2 ms, processed by Server 5)
Countries=41 getNumberofCountries 32 68523 163219  Zone:4 (turnaround time: 126 ms, execution time: 124 ms, waiting time: 2 ms, processed by Server 4)
Countries=37 getNumberofCountries 40 59399 105732  Zone:4 (turnaround time: 119 ms, execution time: 117 ms, waiting time: 2 ms, processed by Server 4)
Countries=34 getNumberofCountries 38 67728 135271  Zone:1 (turnaround time: 119 ms, execution time: 117 ms, waiting time: 2 ms, processed by Server 1)
Countries=156 getNumberofCountries 4 26295 32725  Zone:1 (turnaround time: 132 ms, execution time: 130 ms, waiting time: 2 ms, processed by Server 1)
Countries=156 getNumberofCountries 4 26295 32725  Zone:1 (turnaround time: 125 ms, execution time: 123 ms, waiting time: 2 ms, processed by Server 1)
Countries=31 getNumberofCountries 35 94789 129232  Zone:2 (turnaround time: 119 ms, execution time: 117 ms, waiting time: 2 ms, processed by Server 2)
Countries=31 getNumberofCountries 47 70908 89920  Zone:4 (turnaround time: 125 ms, execution time: 123 ms, waiting time: 2 ms, processed by Server 4)
Countries=31 getNumberofCountries 47 70908 89920  Zone:4 (turnaround time: 120 ms, execution time: 118 ms, waiting time: 2 ms, processed by Server 4)
Countries=31 getNumberofCountries 47 70908 89920  Zone:4 (turnaround time: 123 ms, execution time: 121 ms, waiting time: 2 ms, processed by Server 4)
Countries=50 getNumberofCountries 18 82502 166121  Zone:1 (turnaround time: 125 ms, execution time: 123 ms, waiting time: 2 ms, processed by Server 1)
Countries=71 getNumberofCountries 26 36349 85074  Zone:5 (turnaround time: 124 ms, execution time: 123 ms, waiting time: 1 ms, processed by Server 5)
Countries=71 getNumberofCountries 26 36349 85074  Zone:5 (turnaround time: 121 ms, execution time: 119 ms, waiting time: 2 ms, processed by Server 5)
Countries=25 getNumberofCountries 41 99830 129236  Zone:5 (turnaround time: 121 ms, execution time: 118 ms, waiting time: 3 ms, processed by Server 5)
Countries=33 getNumberofCountries 26 108363 151844  Zone:2 (turnaround time: 119 ms, execution time: 117 ms, waiting time: 2 ms, processed by Server 2)
Countries=47 getNumberofCountries 20 88451 159264  Zone:1 (turnaround time: 123 ms, execution time: 121 ms, waiting time: 2 ms, processed by Server 1)
Countries=59 getNumberofCountries 23 53247 109979  Zone:5 (turnaround time: 122 ms, execution time: 120 ms, waiting time: 2 ms, processed by Server 5)
Countries=59 getNumberofCountries 23 53247 109979  Zone:5 (turnaround time: 118 ms, execution time: 117 ms, waiting time: 1 ms, processed by Server 5)
Countries=59 getNumberofCountries 23 53247 109979  Zone:5 (turnaround time: 119 ms, execution time: 117 ms, waiting time: 2 ms, processed by Server 5)
Countries=59 getNumberofCountries 23 53247 109979  Zone:5 (turnaround time: 121 ms, execution time: 119 ms, waiting time: 2 ms, processed by Server 5)
Countries=130 getNumberofCountries 9 29156 73705  Zone:4 (turnaround time: 119 ms, execution time: 117 ms, waiting time: 2 ms, processed by Server 4)
Countries=72 getNumberofCountries 31 28545 48490  Zone:1 (turnaround time: 123 ms, execution time: 121 ms, waiting time: 2 ms, processed by Server 1)
Countries=40 getNumberofCountries 37 59132 141719  Zone:5 (turnaround time: 120 ms, execution time: 118 ms, waiting time: 2 ms, processed by Server 5)
Countries=60 getNumberofCountries 46 24893 78637  Zone:3 (turnaround time: 120 ms, execution time: 118 ms, waiting time: 2 ms, processed by Server 3)
Countries=60 getNumberofCountries 46 24893 78637  Zone:3 (turnaround time: 119 ms, execution time: 117 ms, waiting time: 2 ms, processed by Server 3)
Countries=22 getNumberofCountries 45 109430 135643  Zone:2 (turnaround time: 126 ms, execution time: 124 ms, waiting time: 2 ms, processed by Server 2)
Countries=41 getNumberofCountries 42 48717 74733  Zone:2 (turnaround time: 121 ms, execution time: 119 ms, waiting time: 2 ms, processed by Server 2)
Countries=41 getNumberofCountries 42 48717 74733  Zone:2 (turnaround time: 121 ms, execution time: 119 ms, waiting time: 2 ms, processed by Server 2)
Countries=41 getNumberofCountries 42 48717 74733  Zone:2 (turnaround time: 120 ms, execution time: 118 ms, waiting time: 2 ms, processed by Server 2)
Countries=42 getNumberofCountries 35 55848 73143  Zone:1 (turnaround time: 124 ms, execution time: 122 ms, waiting time: 2 ms, processed by Server 1)
Countries=108 getNumberofCountries 11 40468 87521  Zone:3 (turnaround time: 121 ms, execution time: 119 ms, waiting time: 2 ms, processed by Server 3)
Countries=108 getNumberofCountries 11 40468 87521  Zone:3 (turnaround time: 118 ms, execution time: 116 ms, waiting time: 2 ms, processed by Server 3)
getPopulationofCountry avg turn-around time: 173 ms, avg execution time: 170 ms, avg waiting time: 3 ms, min turn-around time: 116 ms, max turn-around time: 508 ms
getNumberofCities avg turn-around time: 126 ms, avg execution time: 124 ms, avg waiting time: 2 ms, min turn-around time: 116 ms, max turn-around time: 144 ms
getNumberofCountries avg turn-around time: 123 ms, avg execution time: 121 ms, avg waiting time: 1 ms, min turn-around time: 118 ms, max turn-around time: 149 ms
